corruption,acc_baseline,acc_corrupted,damage
01_missing_values,0.8195,0.824284304047384,-0.004784304047383947
03_scaling,0.8195,0.8124471503466937,0.007052849653306326
04_negative_values,0.8195,0.8102486047691527,0.009251395230847281
05_category_shift,0.8195,0.810925080331473,0.00857491966852697
06_category_typo,0.8195,0.8063973063973064,0.01310269360269356
