model,experiment,cleaning_level,cleaning_name,accuracy,precision,recall,f1,n_samples_before,n_samples_after,rows_dropped,cleaning_time,eval_time
HistGradientBoosting,baseline,0,0_Baseline,0.8388333333333333,0.839854929852679,0.8388333333333333,0.8388123766303873,20000,20000,0,0,1.8513002395629883
HistGradientBoosting,all_corruptions,1,1_Corrupted_Numerical,0.8011666666666667,0.8061602115196236,0.8011666666666667,0.8006719342459198,20000,22000,-2000,0.5242452621459961,1.3112447261810303
HistGradientBoosting,all_corruptions,1,1_Corrupted_All,0.7821666666666667,0.7903447200458992,0.7821666666666667,0.7811018664399701,20000,22000,-2000,0,1.2375867366790771
HistGradientBoosting,all_corruptions,2,2_Cleaned_NoCleanlab,0.6050318278266141,0.6048813450235775,0.6050318278266141,0.6049160569761357,22000,21993,7,60.10229134559631,1.6266632080078125
HistGradientBoosting,all_corruptions,3,3_Cleaned_Cleanlab,0.7212212212212212,0.7226075585058752,0.7212212212212212,0.7211340834211583,22000,19980,2020,62.30448126792908,0.8322129249572754
HistGradientBoosting,baseline,0,0_Baseline,0.8388333333333333,0.839854929852679,0.8388333333333333,0.8388123766303873,20000,20000,0,0,2.4420852661132812
HistGradientBoosting,all_corruptions,1,1_Corrupted_Numerical,0.8045,0.8081133754357733,0.8045,0.8041879341074389,20000,22000,-2000,1.11281156539917,2.706742525100708
HistGradientBoosting,all_corruptions,1,1_Corrupted_All,0.7825,0.7910894047345438,0.7825,0.7813741176470588,20000,22000,-2000,0,1.246896505355835
HistGradientBoosting,all_corruptions,2,2_Cleaned_NoCleanlab,0.6095786602000606,0.6103394928370856,0.6095786602000606,0.6095635934631661,22000,21992,8,64.57546806335449,0.7675504684448242
HistGradientBoosting,all_corruptions,3,3_Cleaned_Cleanlab,0.7255520504731862,0.7286108866077828,0.7255520504731862,0.7250073115268514,22000,20075,1925,65.75242018699646,1.285585880279541
HistGradientBoosting,baseline,0,0_Baseline,0.8348333333333333,0.8364347961231803,0.8348333333333333,0.8347686839532441,20000,20000,0,0,1.4792780876159668
HistGradientBoosting,all_corruptions,1,1_Corrupted_Numerical,0.8015,0.8054062297530006,0.8015,0.8011438386729506,20000,22000,-2000,0.34005093574523926,1.5994138717651367
HistGradientBoosting,all_corruptions,1,1_Corrupted_All,0.7851666666666667,0.7900613710858498,0.7851666666666667,0.7846174123383999,20000,22000,-2000,0,1.6396641731262207
HistGradientBoosting,all_corruptions,2,2_Cleaned_NoCleanlab,0.6626543692355792,0.6645388003445591,0.6626543692355792,0.6620324736332115,22000,21323,677,62.57025074958801,1.355337142944336
